STATE,zipcode,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,A00200,N00200,N00300,A00300,SCHF,N02300,A02300,N02500,A02500,N06500,A06500,N10300,A10300,N19700,A19700
GA,31315,3120,590,2120,280,870,9260,4090,340,340,0,0,0,950,20,108255,3120,108987,105940,3090,200,35,0,60,265,30,255,1370,3591,1440,3696,80,441
GA,31316,4030,1260,1870,790,1810,9780,4010,150,150,0,0,30,1320,520,169415,4030,170742,141672,3620,660,297,110,130,433,320,3249,2350,10560,2640,11316,800,3677
GA,31320,3990,1590,1530,770,1860,8010,2680,90,70,20,0,0,1150,870,200090,3990,201995,141842,3380,770,764,20,100,389,510,6434,2560,18623,2830,19918,1030,5809
GA,31321,2730,1040,1070,550,1350,5710,2040,40,40,0,0,20,680,600,122816,2730,123854,96135,2360,490,367,80,80,204,310,3410,1700,10080,1940,10928,570,2828
GA,31322,11700,4860,4630,1860,4900,23730,8080,310,270,40,50,20,2540,1730,756480,11700,765034,606169,10540,2180,1655,30,310,978,1100,15541,8520,84683,9150,88882,3900,20485
GA,31323,760,350,200,200,450,1460,530,0,0,0,0,0,270,140,27266,760,27411,23016,680,90,21,0,20,53,70,700,460,1905,530,2095,180,924
GA,31324,11610,3810,6080,1410,4830,27220,10470,460,430,30,30,0,1950,1950,847601,11610,858345,665445,10280,3290,4930,50,240,820,1240,18281,8510,96757,9110,101721,3970,20054
GA,31326,9310,3550,4040,1510,3900,19970,7260,260,240,30,50,40,2040,1640,554180,9310,559401,447900,8240,1760,1355,50,250,721,1030,13346,6630,56068,7190,58794,2960,14314
GA,31328,1680,850,670,120,990,2740,460,0,0,0,0,0,120,740,138664,1680,141065,71043,1210,650,1525,0,30,108,480,7619,1290,19116,1400,20446,660,5066
GA,31329,3550,1360,1430,700,1620,7520,2750,60,60,0,0,0,960,640,178012,3550,179616,140187,3100,630,604,80,80,210,440,5888,2340,15664,2580,16736,930,4397
GA,31331,2200,860,860,440,1200,4250,1300,0,0,0,0,0,550,710,108302,2200,109326,67157,1720,510,756,30,70,197,420,5903,1320,10421,1520,11090,580,3511
GA,31401,7820,4950,1100,1620,2900,11890,3400,470,430,40,180,80,1860,1130,485999,7820,493839,259507,6870,1260,2840,0,170,465,560,9371,4730,62746,5440,88275,1270,12095
