"","STATE","zipcode","N1","NUMDEP","A00100","SCHF","A06500","A10300","A19700"
"339","GA",30728,7080,5140,287013,180,21457,23478,5057
"340","GA",30730,730,550,27115,40,1726,1852,615
"341","GA",30731,890,560,38716,40,3176,3477,543
"342","GA",30733,740,590,29724,20,2102,2355,479
"343","GA",30734,1160,850,52116,70,4422,4879,907
"344","GA",30735,2560,2220,98369,70,7330,8124,1658
"345","GA",30736,17160,12300,971116,180,97647,105394,28012
"346","GA",30738,1480,840,75897,50,7622,8360,1552
"347","GA",30739,2160,1460,116042,60,10381,11292,2979
"348","GA",30740,3800,2680,243775,70,32876,34871,8003
"349","GA",30741,11070,7610,395156,0,28575,31658,6173
"350","GA",30742,2990,1870,112110,0,8244,9015,1851
"351","GA",30746,530,320,28009,30,2706,2903,583
"352","GA",30747,5670,4240,225602,190,17231,19049,5941
"353","GA",30750,1270,880,125707,0,19102,21389,5440
"354","GA",30752,3710,2520,155532,70,12639,13968,2797
"355","GA",30753,2580,2360,97788,40,6439,6949,1351
"356","GA",30755,3810,2900,161520,50,13942,15261,4279
"357","GA",30757,640,410,29374,30,2707,2982,598
"358","GA",30802,2650,1680,184774,60,22743,23932,7352
"359","GA",30803,340,260,13254,30,850,943,333
"360","GA",30805,1080,800,42651,30,3131,3402,780
"361","GA",30808,1770,1470,70082,50,5174,5656,1569
"362","GA",30809,19940,15810,1779492,90,236520,248241,58921
"363","GA",30810,710,560,30953,60,2310,2502,540
